Country,Date,Sum_Confirmed,sum_Recovered,sum_Deaths,sum_Active,Median_CaseFatalityRatio,Median_IncidenceRate
"Brazil",2020-03-23 00:00:00,1924,2,34,1888,NaN,NaN
"Brazil",2020-03-24 00:00:00,2247,2,46,2199,NaN,NaN
"Brazil",2020-03-25 00:00:00,2554,2,59,2493,NaN,NaN
"Brazil",2020-03-26 00:00:00,2985,6,77,2902,NaN,NaN
"Brazil",2020-03-27 00:00:00,3417,6,92,3319,NaN,NaN
"Brazil",2020-03-31 00:00:00,5717,127,201,5389,NaN,NaN
"Brazil",2020-04-01 00:00:00,6836,127,240,6469,NaN,NaN
"Brazil",2020-04-03 00:00:00,9056,127,359,8570,NaN,NaN
"Brazil",2020-04-05 00:00:00,11130,127,486,10517,NaN,NaN
"Brazil",2020-04-07 00:00:00,14034,127,686,13221,NaN,NaN
"Brazil",2020-04-08 00:00:00,16170,127,819,15224,NaN,NaN
"Brazil",2020-04-09 00:00:00,18092,173,950,16969,NaN,NaN
"Brazil",2020-04-10 00:00:00,19638,173,1057,18408,NaN,NaN
"Brazil",2020-04-11 00:00:00,20727,173,1124,19430,NaN,NaN
"Brazil",2020-04-12 00:00:00,22192,173,1223,20796,NaN,NaN
"Brazil",2020-04-13 00:00:00,23430,173,1328,21929,NaN,NaN
"Brazil",2020-04-14 00:00:00,25262,3046,1532,20684,NaN,NaN
"Brazil",2020-04-15 00:00:00,28320,14026,1736,12558,NaN,NaN
"Brazil",2020-04-16 00:00:00,30425,14026,1924,14475,NaN,NaN
"Brazil",2020-04-17 00:00:00,33682,14026,2141,17515,NaN,NaN
"Brazil",2020-04-18 00:00:00,36658,14026,2354,20278,NaN,NaN
"Brazil",2020-04-19 00:00:00,38654,22130,2462,14062,NaN,NaN
"Brazil",2020-04-20 00:00:00,40743,22130,2587,16026,NaN,NaN
"Brazil",2020-04-21 00:00:00,43079,22991,2741,17347,NaN,NaN
"Brazil",2020-04-22 00:00:00,45757,25318,2906,17533,NaN,NaN
"Brazil",2020-04-24 00:00:00,50036,26573,3331,20132,NaN,NaN
"Brazil",2020-04-25 00:00:00,54043,27655,3704,22684,NaN,NaN
"Brazil",2020-04-26 00:00:00,59324,29160,4057,26107,NaN,NaN
"Brazil",2020-04-27 00:00:00,63100,30152,4286,28662,NaN,NaN
"Brazil",2020-04-28 00:00:00,67446,31142,4603,31701,NaN,NaN
"Brazil",2020-04-29 00:00:00,73235,32544,5083,35608,NaN,NaN
"Brazil",2020-04-30 00:00:00,79685,34132,5513,40040,NaN,NaN
"Brazil",2020-05-01 00:00:00,87187,35935,6006,45246,NaN,NaN
"Brazil",2020-05-02 00:00:00,92202,38039,6412,47751,NaN,NaN
"Brazil",2020-05-03 00:00:00,97100,40937,6761,49402,NaN,NaN
"Brazil",2020-05-04 00:00:00,101826,42991,7051,51784,NaN,NaN
"Brazil",2020-05-05 00:00:00,108620,45815,7367,55438,NaN,NaN
"Brazil",2020-05-06 00:00:00,115455,48221,7938,59296,NaN,NaN
"Brazil",2020-05-07 00:00:00,126611,51370,8588,66653,NaN,NaN
"Brazil",2020-05-08 00:00:00,135773,55350,9190,71233,NaN,NaN
"Brazil",2020-05-09 00:00:00,146894,59297,10017,77580,NaN,NaN
"Brazil",2020-05-10 00:00:00,156061,61685,10656,83720,NaN,NaN
"Brazil",2020-05-11 00:00:00,162699,64957,11123,86619,NaN,NaN
"Brazil",2020-05-12 00:00:00,169594,67384,11653,90557,NaN,NaN
"Brazil",2020-05-13 00:00:00,178214,72597,12461,93156,NaN,NaN
"Brazil",2020-05-14 00:00:00,190137,78424,13240,98473,NaN,NaN
"Brazil",2020-05-15 00:00:00,203165,79479,13999,109687,NaN,NaN
"Brazil",2020-05-16 00:00:00,220291,84970,14962,120359,NaN,NaN
"Brazil",2020-05-17 00:00:00,233511,89672,15662,128177,NaN,NaN
"Brazil",2020-05-18 00:00:00,241080,94122,16118,130840,NaN,NaN
"Brazil",2020-05-19 00:00:00,255368,100459,16853,138056,NaN,NaN
"Brazil",2020-05-20 00:00:00,271885,106794,17983,147108,NaN,NaN
"Brazil",2020-05-21 00:00:00,294624,116683,19059,272720,NaN,NaN
"Brazil",2020-05-22 00:00:00,312761,125960,20128,290040,NaN,NaN
"Brazil",2020-05-23 00:00:00,334568,135430,21159,309842,NaN,NaN
"Brazil",2020-05-24 00:00:00,351565,142587,22205,325385,NaN,NaN
"Brazil",2020-05-25 00:00:00,366033,149911,22863,340545,NaN,NaN
"Brazil",2020-05-26 00:00:00,378840,153833,23590,351425,NaN,NaN
"Brazil",2020-05-27 00:00:00,395167,158593,24644,366710,NaN,NaN
"Brazil",2020-05-28 00:00:00,415366,166647,25705,386223,NaN,NaN
"Brazil",2020-05-29 00:00:00,443703,177604,26895,411484,NaN,NaN
"Brazil",2020-05-30 00:00:00,470593,189476,28032,437288,3.24228292249611,258.228292627969
"Brazil",2020-05-31 00:00:00,502914,200892,28896,469606,3.30874604847208,276.356410177275
"Brazil",2020-06-01 00:00:00,516137,206555,29367,485535,3.26505779760698,304.476973031667
"Brazil",2020-06-02 00:00:00,531286,211080,30108,496510,3.14192849404117,314.656657513651
"Brazil",2020-06-03 00:00:00,562963,223638,31473,524184,3.1404053313858,328.596509122561
"Brazil",2020-06-04 00:00:00,589048,238617,32667,551468,3.15070890950464,343.123055778406
"Brazil",2020-06-05 00:00:00,621002,254963,34177,580920,3.00356092274346,356.723986120827
"Brazil",2020-06-06 00:00:00,653103,266940,35253,610745,3.10004163670086,373.124588897357
"Brazil",2020-06-07 00:00:00,676893,277149,36054,636916,2.96103896103896,390.308244326349
"Brazil",2020-06-08 00:00:00,694881,283952,36530,655303,2.89765721331689,404.142174519815
"Brazil",2020-06-09 00:00:00,712219,378257,37393,292021,2.82926829268293,423.152952804547
"Brazil",2020-06-10 00:00:00,743917,396737,38586,304360,2.77410832232497,429.106365328875
"Brazil",2020-06-11 00:00:00,777707,413916,39824,318820,2.86749645501812,438.785062913104
"Brazil",2020-06-12 00:00:00,806399,429965,41092,331944,2.85107673642705,449.865863714939
"Brazil",2020-06-13 00:00:00,830681,445123,41935,341859,2.86054827175209,459.052778827321
"Brazil",2020-06-14 00:00:00,851911,459436,42792,348358,2.87927506577024,467.413080848724
"Brazil",2020-06-15 00:00:00,868705,469141,43426,355151,2.90909090909091,473.586520388935
"Brazil",2020-06-16 00:00:00,893322,477709,44190,366603,2.95015259409969,476.160530773497
"Brazil",2020-06-17 00:00:00,930305,490005,45522,387943,3.01229403662705,485.786911073487
"Brazil",2020-06-18 00:00:00,961230,521046,46707,387821,2.98587694863901,503.697000331829
"Brazil",2020-06-19 00:00:00,986750,534580,47946,395814,3.03773721047695,508.796052681831
"Brazil",2020-06-20 00:00:00,1042809,551631,49118,432328,2.97117617594827,540.853219150506
"Brazil",2020-06-21 00:00:00,1071666,589074,50100,394784,3.07363052684304,540.853219150506
"Brazil",2020-06-22 00:00:00,1088233,600576,50709,433845,3.00568292314009,556.81041055276
"Brazil",2020-06-23 00:00:00,1114728,601736,51445,453463,3.0603576434609,569.085730140385
"Brazil",2020-06-24 00:00:00,1154255,627963,52851,465298,2.71803556308213,584.241720346253
"Brazil",2020-06-25 00:00:00,1195288,660469,53955,474332,2.71169522542006,620.898566321428
"Brazil",2020-06-26 00:00:00,1236752,679524,55135,493655,2.72269180754226,646.305961498814
"Brazil",2020-06-27 00:00:00,1281636,702399,56128,516614,2.71274913002214,676.70358580756
"Brazil",2020-06-28 00:00:00,1318556,727715,57159,528882,2.60100545644044,691.588726416534
"Brazil",2020-06-29 00:00:00,1351439,746018,57753,540503,2.55201109570042,697.377392208912
"Brazil",2020-06-30 00:00:00,1372989,757811,58475,552070,2.63126082927026,847.512000075281
"Brazil",2020-07-01 00:00:00,1412669,788318,59792,554849,2.66026523946322,863.651826865854
"Brazil",2020-07-02 00:00:00,1459494,926192,60878,462273,2.6977761574918,909.618966064446
"Brazil",2020-07-03 00:00:00,1503895,957692,62137,477282,2.68400243309002,938.077529910721
"Brazil",2020-07-04 00:00:00,1546935,984615,63350,491522,2.58467656039196,953.019701709767
"Brazil",2020-07-05 00:00:00,1580502,990731,64410,522008,2.49591102387962,976.858739160153
"Brazil",2020-07-06 00:00:00,1605695,1029045,64968,509143,2.52709876346991,987.922790034256
"Brazil",2020-07-07 00:00:00,1630149,1062542,65653,495324,2.50236504012939,997.589576751578
"Brazil",2020-07-08 00:00:00,1676848,1107012,66953,494836,2.48240813135262,1021.42861420196
"Brazil",2020-07-09 00:00:00,1722098,1139844,68126,505726,2.50594988100238,1041.13289037208
"Brazil",2020-07-10 00:00:00,1765060,1171447,69348,515758,2.48770842240274,1056.78795204703
"Brazil",2020-07-11 00:00:00,1809371,1217361,70646,513371,2.47519740838226,1091.14924406583
"Brazil",2020-07-12 00:00:00,1844318,1244088,71578,524293,2.49037919454862,1101.15821792359
"Brazil",2020-07-13 00:00:00,1867976,1264843,72195,527738,2.48908561726898,1124.11327192785
"Brazil",2020-07-14 00:00:00,1890869,1291251,73030,520883,2.50907807141416,1134.92068244663
"Brazil",2020-07-15 00:00:00,1933791,1323425,74324,529266,2.58580733295929,1150.34761936129
"Brazil",2020-07-16 00:00:00,1973933,1350098,75604,541284,2.60659580008996,1159.27300060767
"Brazil",2020-07-17 00:00:00,2017616,1397531,76903,537932,2.52201194211112,1168.51205339944
"Brazil",2020-07-18 00:00:00,2052234,1428520,78026,540567,2.52943634620585,1177.77962178626
"Brazil",2020-07-19 00:00:00,2077987,1447408,78870,548680,2.62343373108203,1239.03111992433
"Brazil",2020-07-20 00:00:00,2101399,1459072,79578,559829,2.65744062148452,1248.01353236078
"Brazil",2020-07-21 00:00:00,2124152,1514300,80346,524226,2.66292520902531,1253.46001101272
"Brazil",2020-07-22 00:00:00,2171079,1555339,81663,522828,2.63506416404074,1262.29984547399
"Brazil",2020-07-23 00:00:00,2237229,1591975,82959,552768,2.56080779360436,1288.44864612232
"Brazil",2020-07-24 00:00:00,2294555,1620313,84272,583080,2.54735935706085,1319.15690540253
"Brazil",2020-07-25 00:00:00,2351458,1693214,85437,564914,2.54785548840553,1354.90144740954
"Brazil",2020-07-26 00:00:00,2398993,1785359,86536,522705,2.55188749856908,1386.674373638
"Brazil",2020-07-27 00:00:00,2421666,1812913,87117,519174,2.5664890114232,1406.68520698381
"Brazil",2020-07-28 00:00:00,2449677,1846641,87802,508272,2.56839900510538,1423.18268791013
"Brazil",2020-07-29 00:00:00,2503681,1868749,89060,525903,2.55112597854951,1452.82560624999
"Brazil",2020-07-30 00:00:00,2559132,1922802,90259,539329,2.55781161872532,1495.83270576712
